Title,Por_Sinonimos,Por_Abreviaturas,Por_Siglas,Por_verbs,Infinitive_Verbs_number,Gerund_Verbs_number,Participle_Verbs_number,imperative_Verbs_number,Determiners_number,Preposition_number,Noun,Por_Desconocidas,Por_Largas,Por_Superlativos,Por_Adverbios_mente,Por_Adverbios,Por_Simbolos,Por_Inderterminados,Por_numeros,Por_complex,Por_muy_frecuentes,Por_frecuentes,Por_poco_frecuentes,Por_muy_frecuentes_sub,Por_frecuentes_sub,Por_poco_frecuentes_sub,Por_comillas,Por_Homo,Ratio_Palabra_Frases,Ratio_Caracteres_Palabra,Comas/frases,%comas,%puntos,punto_y_coma,date,%date_mal,doble_negacion,partitivos o porcentajes,presente_indicativo,subjuntivo,condicional,nverbseguidos,%puntuacion,%etc,%mayus_no_sigla,%sin_palabras,%ordinales,%romanos,%generales,%especificas,%general,%especifico,Tipo
CertificadoRetencionesIRPF2019FacilH,2.6696329254727473,0.22246941045606228,2.558398220244716,13.904338153503893,4.560622914349277,0.11123470522803114,1.4460511679644048,0.44493882091212456,14.682981090100112,14.794215795328142,22.1357063403782,0.0,7.897664071190212,0.0,0.6674082313681868,2.2246941045606228,0.778642936596218,0.0,0.778642936596218,0.0,74.52725250278087,6.451612903225806,0.5561735261401557,67.5194660734149,2.0022246941045605,3.670745272525028,3.781979977753059,1.7797552836484982,27.242424242424242,4.447163515016685,0.8181818181818182,3.0033370411568407,3.670745272525028,0.0,0.0,0.0,0.11123470522803114,0.0,4.004449388209121,2.0022246941045605,0.0,4.004449388209121,15.572858731924361,0.0,0.0,9.293680297397769,0.0,0.0,73.63737486095661,7.897664071190212,2.7777777777777777,97.22222222222223,Dificil
CursosINEMH,3.4722222222222223,0.1736111111111111,0.3472222222222222,12.67361111111111,4.166666666666667,0.6944444444444444,3.6458333333333335,0.0,13.715277777777779,15.79861111111111,23.78472222222222,0.0,7.465277777777778,0.0,0.8680555555555556,1.9097222222222223,0.0,0.0,1.3888888888888888,0.0,71.52777777777777,4.513888888888889,0.5208333333333334,63.71527777777778,0.8680555555555556,3.6458333333333335,0.0,1.9097222222222223,19.2,4.631944444444445,0.7,3.6458333333333335,4.340277777777778,0.1736111111111111,0.0,0.0,0.1736111111111111,0.0,1.9097222222222223,0.6944444444444444,0.0,3.8194444444444446,19.09722222222222,0.0,0.0,8.88888888888889,0.0,0.0,70.48611111111111,6.076388888888889,1.6528925619834711,98.34710743801652,Dificil
ContratoTemporalH,3.7974683544303796,0.0,0.0,11.39240506329114,2.5316455696202533,0.0,1.2658227848101267,0.0,12.658227848101266,17.72151898734177,27.848101265822784,0.0,5.063291139240507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.60759493670886,1.2658227848101267,0.0,77.21518987341773,0.0,5.063291139240507,0.0,2.5316455696202533,39.5,4.810126582278481,1.5,3.7974683544303796,2.5316455696202533,0.0,0.0,0.0,0.0,0.0,2.5316455696202533,1.2658227848101267,0.0,5.063291139240507,8.860759493670885,0.0,0.0,6.122448979591836,0.0,0.0,88.60759493670886,1.2658227848101267,0.0,100.0,Dificil
CobrarParoEnExtranjeroH,1.1661807580174928,0.0,3.498542274052478,11.078717201166182,2.9154518950437316,0.8746355685131195,1.4577259475218658,0.0,13.411078717201166,18.658892128279884,27.113702623906704,0.0,6.997084548104956,0.0,0.2915451895043732,1.4577259475218658,3.206997084548105,0.0,0.0,0.0,79.00874635568513,4.373177842565598,0.2915451895043732,68.22157434402332,0.5830903790087464,5.830903790087463,0.0,4.373177842565598,38.111111111111114,4.763848396501458,1.6666666666666667,4.373177842565598,2.623906705539359,0.0,0.0,0.0,0.0,0.0,3.7900874635568513,0.8746355685131195,0.0,6.41399416909621,12.82798833819242,0.0,0.8746355685131195,2.7210884353741496,0.0,0.0,76.96793002915452,6.705539358600583,1.7751479289940828,98.22485207100591,Dificil
AyudasRetornoHumanitarioH,3.3507073715562172,0.14892032762472077,0.4467609828741623,8.265078183172003,2.084884586746091,0.22338049143708116,2.2338049143708116,0.0,11.839166046165301,17.795979151154132,27.103499627699183,0.0,12.137006701414743,0.0,0.37230081906180196,1.1913626209977661,1.1913626209977661,0.0,1.1169024571854058,0.0,77.066269545793,3.9463886820551006,0.7446016381236039,64.63142218912881,1.7870439314966493,5.882352941176471,0.0,1.712583767684289,35.3421052631579,5.390915860014892,1.6842105263157894,4.7654504839910645,2.9784065524944157,0.14892032762472077,0.8935219657483247,0.29784065524944153,0.0,0.0,1.1913626209977661,1.2658227848101267,0.0,3.1273268801191363,12.211466865227104,0.07446016381236038,0.6701414743112435,11.44708423326134,0.0,0.0,76.17274758004467,5.584512285927029,1.417004048582996,98.582995951417,Dificil
RentaMinimaDeInsercionH,4.280821917808219,0.0,0.684931506849315,11.986301369863014,4.794520547945205,0.3424657534246575,2.0547945205479454,0.0,11.301369863013699,16.438356164383563,22.773972602739725,0.0,4.965753424657534,0.0,0.8561643835616438,1.7123287671232876,1.5410958904109588,0.0,2.73972602739726,0.0,75.68493150684931,3.9383561643835616,0.684931506849315,65.06849315068493,1.0273972602739727,5.136986301369863,0.0,2.73972602739726,25.391304347826086,4.7020547945205475,0.7391304347826086,2.910958904109589,5.47945205479452,0.0,0.0,0.0,0.17123287671232876,0.17123287671232876,1.5410958904109588,2.3972602739726026,0.17123287671232876,4.109589041095891,13.356164383561644,0.0,0.17123287671232876,10.483870967741936,0.0,0.0,75.17123287671232,5.136986301369863,1.1152416356877324,98.88475836431226,Dificil
EREH,4.056795131845842,0.0,5.070993914807302,13.184584178498985,3.2454361054766734,0.4056795131845842,1.0141987829614605,0.0,13.387423935091277,13.995943204868155,25.35496957403651,0.0,2.028397565922921,0.0,0.2028397565922921,1.4198782961460445,0.4056795131845842,0.0,0.0,0.0,74.64503042596348,2.839756592292089,4.665314401622718,66.32860040567951,0.6085192697768763,6.490872210953347,0.0,1.2170385395537526,20.541666666666668,3.9594320486815415,0.375,1.8255578093306288,0.2028397565922921,0.2028397565922921,1.2170385395537526,0.0,0.0,0.0,6.490872210953347,0.2028397565922921,0.0,2.839756592292089,16.430020283975658,0.0,0.4056795131845842,6.5476190476190474,0.0,0.0,73.63083164300203,8.519269776876268,2.0725388601036268,97.92746113989638,Dificil
VacacionesNoDisfrutadasParoH,1.520912547528517,0.0,11.02661596958175,13.688212927756654,1.9011406844106464,0.7604562737642585,3.4220532319391634,0.0,13.688212927756654,15.96958174904943,24.334600760456272,0.0,5.32319391634981,0.0,0.0,2.661596958174905,0.0,0.0,0.0,0.38022813688212925,82.50950570342205,3.4220532319391634,1.1406844106463878,69.96197718631178,0.7604562737642585,6.083650190114068,0.0,3.4220532319391634,32.875,5.566539923954372,2.0,6.083650190114068,2.661596958174905,0.0,0.0,0.0,0.7604562737642585,0.0,3.4220532319391634,1.9011406844106464,0.0,4.562737642585551,10.26615969581749,0.0,4.182509505703422,5.737704918032787,0.0,0.0,82.12927756653993,4.942965779467681,1.2658227848101267,98.73417721518987,Dificil
PagoUnicoH,5.111111111111111,0.0,0.2222222222222222,12.88888888888889,4.444444444444445,1.3333333333333333,2.0,0.0,16.0,17.555555555555557,23.555555555555557,0.0,6.888888888888889,0.0,0.4444444444444444,1.7777777777777777,0.8888888888888888,0.0,0.2222222222222222,0.0,86.0,4.666666666666667,0.2222222222222222,74.66666666666667,1.5555555555555556,6.444444444444445,0.0,4.444444444444445,40.90909090909091,5.086666666666667,1.4545454545454546,3.5555555555555554,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,1.7777777777777777,2.6666666666666665,0.0,4.0,6.888888888888889,0.0,0.4444444444444444,13.541666666666666,0.0,0.0,84.66666666666667,6.222222222222222,0.9615384615384616,99.03846153846153,Dificil
TramitesDGTH,0.0,0.0,3.252032520325203,13.821138211382113,7.317073170731708,0.0,1.6260162601626016,0.0,8.94308943089431,10.56910569105691,23.577235772357724,0.0,2.4390243902439024,0.0,0.0,0.8130081300813008,0.0,0.0,9.75609756097561,0.0,69.10569105691057,4.878048780487805,0.0,66.66666666666667,0.0,3.252032520325203,0.0,2.4390243902439024,30.75,4.528455284552845,1.75,5.691056910569106,0.0,0.0,7.317073170731708,0.0,0.0,0.0,4.878048780487805,0.0,0.0,8.130081300813009,12.195121951219512,0.0,9.75609756097561,0.0,0.0,5.691056910569106,69.10569105691057,4.878048780487805,0.0,100.0,Dificil
