Title,Por_Sinonimos,Por_Abreviaturas,Por_Siglas,Por_verbs,Infinitive_Verbs_number,Gerund_Verbs_number,Participle_Verbs_number,Determiners_number,Preposition_number,Noun,Por_Desconocidas,Por_Largas,Por_Superlativos,Por_Adverbios,Por_Simbolos,Por_Inderterminados,Por_numeros,Por_complex,Por_muy_frecuentes,Por_frecuentes,Por_poco_frecuentes,Por_comillas,Por_Homo,Ratio_Palabra_Frases,Ratio_Caracteres_Palabra,Comas/frases,puntos,punto_y_coma,N_sentences,N_Puntos,date,Tipo
APREH,9.5,0.3333333333333333,0.3333333333333333,7.0,1.6666666666666667,0.0,2.8333333333333335,12.666666666666666,21.5,26.0,5.166666666666667,3.0,0.0,0.3333333333333333,1.1666666666666667,0.0,2.5,0.0,95.83333333333333,1.8333333333333333,0.8333333333333334,0.0,3.6666666666666665,15.789473684210526,5.406666666666666,0.47368421052631576,6.166666666666667,0.0,37,38,0.0,Dificil
AutonomosAcreditarCeseFacilH,8.64864864864865,0.0,0.0,12.432432432432432,2.7027027027027026,0.5405405405405406,3.7837837837837838,16.216216216216218,18.91891891891892,21.62162162162162,7.5675675675675675,6.486486486486487,0.0,0.5405405405405406,1.0810810810810811,0.0,0.0,0.0,104.32432432432432,2.1621621621621623,1.0810810810810811,0.0,1.0810810810810811,30.833333333333332,6.389189189189189,0.8333333333333334,3.2432432432432434,0.0,6,6,0.0,Dificil
TramitesINEMH,0.0,0.0,0.0,15.555555555555555,6.666666666666667,0.0,2.2222222222222223,8.88888888888889,17.77777777777778,22.22222222222222,4.444444444444445,0.0,0.0,0.0,4.444444444444445,0.0,0.0,0.0,255.55555555555554,2.2222222222222223,0.0,0.0,2.2222222222222223,22.5,5.111111111111111,1.0,2.2222222222222223,0.0,1,2,0.0,Dificil
OficinasSEPEH,0.0,0.0,0.0,1.36986301369863,0.0,0.0,0.0,2.73972602739726,6.8493150684931505,80.82191780821918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.04109589041096,6.8493150684931505,0.0,0.0,0.0,36.5,6.082191780821918,0.0,1.36986301369863,0.0,1,2,0.0,Dificil
ConsultaDevolucionRentaH,0.0,13.25301204819277,0.0,12.048192771084338,7.228915662650603,0.0,2.4096385542168677,3.6144578313253013,2.4096385542168677,43.373493975903614,8.433734939759036,1.2048192771084338,0.0,0.0,8.433734939759036,0.0,4.819277108433735,0.0,80.72289156626506,0.0,1.2048192771084338,0.0,0.0,83.0,5.590361445783133,1.0,0.0,0.0,0,1,0.0,Dificil
PagarMultasTraficoH,5.339265850945495,1.668520578420467,0.0,12.458286985539488,3.781979977753059,0.44493882091212456,0.8898776418242491,14.46051167964405,16.35150166852058,20.912124582869854,4.560622914349277,0.44493882091212456,0.0,0.22246941045606228,0.8898776418242491,0.0,1.2235817575083425,0.0,78.1979977753059,1.7797552836484982,1.2235817575083425,0.0,2.8921023359288096,20.431818181818183,4.117908787541713,0.9090909090909091,4.560622914349277,0.0,41,44,0.778642936596218,Dificil
SellarParoPorInternetH,5.454545454545454,1.2121212121212122,0.30303030303030304,10.909090909090908,3.3333333333333335,0.0,3.9393939393939394,8.181818181818182,17.575757575757574,27.87878787878788,5.151515151515151,1.5151515151515151,0.0,0.6060606060606061,1.5151515151515151,0.0,2.4242424242424243,0.0,79.39393939393939,0.6060606060606061,0.9090909090909091,0.0,1.5151515151515151,17.36842105263158,4.9393939393939394,0.8421052631578947,5.454545454545454,0.0,18,19,0.0,Dificil
guia_ES12_mitos_del_amor_romantico,15.296279283417547,2.6131781758791406,0.18373909049150206,9.630990659929566,2.27632317664472,0.3674781809830041,0.8829684070841627,9.676925432552443,10.095442249783085,21.267799724391363,8.62552952585107,2.679528403001072,0.0051038636247639465,0.2296738631143776,3.8840402184453633,0.045934772622875514,1.1075384065737763,0.0,64.45669371714388,1.148369315571888,1.2096156790690553,0.030623181748583677,1.8782218139131321,29.82191780821918,4.518348389731027,1.3135464231354643,3.1082529474812435,0.08166181799622314,609,657,0.03572704537334762,Dificil
cuadernillo_parlamento,20.78771289537713,0.7299270072992701,0.12165450121654502,10.05170316301703,2.037712895377129,0.2889294403892944,1.794403892944039,16.40815085158151,15.191605839416058,20.574817518248175,7.694647201946472,3.9385644768856447,0.0,0.24330900243309003,0.8667883211678832,0.04562043795620438,1.551094890510949,0.0,90.25243309002433,1.0036496350364963,0.7147201946472019,0.0,2.2201946472019465,26.84081632653061,5.544860097323601,1.3877551020408163,3.5583941605839415,0.5474452554744526,234,245,0.13686131386861314,Dificil
guia-monfrague_tcm30-66975,25.814889927402053,0.8758780824736208,0.07641889310172531,9.531787320342122,1.5313170502307263,0.36739852452752547,1.657702142668195,13.088205037768569,12.97063750991976,21.8646209916821,9.902125033065866,2.4571613320400907,0.0,0.33506745436910323,2.5130059077682745,0.01469594098110102,2.8804044322958,0.0,74.94635981541899,2.0691884901390236,5.828410193104665,0.0,2.030979043588161,23.09775967413442,4.863122005702025,1.2043448744059742,4.108985098315845,0.14108103341856978,1398,1473,0.15871616259589102,Dificil
IMEX_GUÍA_DE_RECURSOS,17.022716288061865,0.8409859835669405,0.5316578057032383,6.727887868535524,1.4403093281778636,0.2996616723054616,1.4886418559690673,11.619139681005317,14.683421942967618,20.927984533591108,14.374093765103915,6.128564523924601,0.0,0.15466408893185113,2.4649589173513773,0.0,4.146930884485259,0.0,86.42822619623006,1.304978250362494,2.7839536007733203,0.0,1.94296761720638,18.085664335664337,5.843209279845336,0.7604895104895105,5.007249879168681,0.009666505558240696,518,572,0.0,Dificil
Juan-Tenorio,24.81974921630094,0.2115987460815047,0.007836990595611285,15.924764890282132,2.1394984326018807,0.3213166144200627,1.1755485893416928,9.75705329153605,8.526645768025078,14.420062695924765,9.318181818181818,1.0188087774294672,0.007836990595611285,0.007836990595611285,0.01567398119122257,0.08620689655172414,1.3871473354231976,0.0,77.76645768025078,1.9122257053291536,1.6144200626959249,0.0,3.04858934169279,10.199840127897682,3.8900470219435737,0.4724220623501199,7.7272727272727275,0.0,986,1251,0.0,Dificil
