Title,Por_Sinonimos,Por_Abreviaturas,Por_Siglas,Por_verbs,Infinitive_Verbs_number,Gerund_Verbs_number,Participle_Verbs_number,Determiners_number,Preposition_number,Noun,Por_Desconocidas,Por_Largas,Por_Superlativos,Por_Adverbios,Por_Simbolos,Por_Inderterminados,Por_numeros,Por_complex,Por_muy_frecuentes,Por_frecuentes,Por_poco_frecuentes,Por_comillas,Por_Homo,Ratio_Palabra_Frases,Ratio_Caracteres_Palabra,Comas/frases,%comas,%puntos,punto_y_coma,date,doble_negacion,partitivos o porcentajes,presente_indicativo,subjuntivo,condicional,nverbseguidos,%puntuacion,Tipo
16_guia_actividad_fisica,7.896575821104123,5.590496156533892,0.0,15.86303284416492,6.848357791754018,0.27952480782669464,0.8385744234800838,11.11111111111111,11.180992313067785,24.6680642907058,20.964360587002098,3.913347309573725,0.0,2.026554856743536,0.9084556254367575,0.20964360587002095,0.3494060097833683,0.0,64.08106219426975,2.375960866526904,0.27952480782669464,0.0,3.2844164919636616,29.20408163265306,3.9489867225716284,0.9795918367346939,3.3542976939203353,3.074772886093641,0.20964360587002095,0.0,0.13976240391334732,0.0,5.93990216631726,1.607267645003494,0.0,5.310971348707198,17.61006289308176,Dificil
guia-monfrague_tcm30-66975,3.7722908093278464,5.0068587105624145,0.411522633744856,7.064471879286694,0.8916323731138546,0.06858710562414266,1.7832647462277091,10.356652949245541,12.139917695473251,30.384087791495197,37.51714677640604,2.263374485596708,0.0,0.6858710562414266,1.5089163237311385,0.0,1.3031550068587106,0.0,54.25240054869685,2.263374485596708,1.989026063100137,0.0,2.4691358024691357,37.38461538461539,4.109053497942387,1.6666666666666667,4.458161865569273,2.606310013717421,0.13717421124828533,1.2345679012345678,0.0,0.0,3.1550068587105624,0.823045267489712,0.0,0.823045267489712,23.319615912208505,Dificil
guia_autoayuda_para_manejar_las_emociones,6.006006006006006,7.207207207207207,0.0,12.312312312312311,3.5285285285285286,0.6756756756756757,1.8018018018018018,11.786786786786786,10.885885885885886,26.276276276276278,23.7987987987988,6.456456456456457,0.0,1.7267267267267268,0.9009009009009009,0.07507507507507508,0.37537537537537535,0.0,62.23723723723724,2.1021021021021022,0.975975975975976,0.0,2.8528528528528527,38.05714285714286,4.36036036036036,2.257142857142857,5.930930930930931,2.5525525525525525,0.07507507507507508,0.0,0.0,0.0,5.33033033033033,0.6756756756756757,0.0,4.2042042042042045,18.61861861861862,Dificil
BOE-A-1978-31229-consolidado,10.746064339493497,4.1067761806981515,0.13689253935660506,6.844626967830253,2.190280629705681,0.2737850787132101,0.6160164271047228,14.647501711156742,11.293634496919918,29.7056810403833,27.310061601642712,4.380561259411362,0.0,0.6844626967830253,0.0,0.0,2.6694045174537986,0.0,56.60506502395619,1.3004791238877482,0.2053388090349076,0.0,3.080082135523614,18.974025974025974,3.8528405201916494,0.5844155844155844,3.080082135523614,5.270362765229295,0.06844626967830253,0.0,0.0,0.0,2.737850787132101,0.6844626967830253,0.0,0.9582477754962354,19.43874058863792,Dificil
DONQUIJOTE_PARTE1,5.391527599486521,5.2631578947368425,0.06418485237483953,9.306803594351733,1.9897304236200257,0.12836970474967907,1.2836970474967908,10.911424903722722,13.286264441591785,25.35301668806162,22.978177150192554,1.1553273427471116,0.0,2.8241335044929397,0.3851091142490372,0.06418485237483953,0.06418485237483953,0.0,58.2798459563543,3.915275994865212,2.053915275994865,0.0,4.621309370988446,77.9,3.470474967907574,5.6,7.188703465982028,1.2836970474967908,0.962772785622593,0.06418485237483953,0.1925545571245186,0.0,1.4120667522464698,0.8985879332477535,0.0,0.8985879332477535,19.255455712451862,Dificil
cuadernillo_parlamento,4.80054090601758,5.611899932386748,0.0,6.490872210953347,1.0141987829614605,0.0,1.6227180527383367,14.5368492224476,15.483434753211629,26.504394861392832,32.52197430696417,2.5693035835023665,0.0,0.676132521974307,0.8113590263691683,0.0,1.0141987829614605,0.0,59.093982420554426,1.4198782961460445,0.2704530087897228,0.0,5.476673427991886,38.921052631578945,3.922244759972955,1.5526315789473684,3.989181879648411,2.501690331304936,0.0676132521974307,1.0818120351588911,0.0,0.2028397565922921,2.0960108181203516,0.47329276538201487,0.0,0.9465855307640297,21.3657876943881,Dificil
SolicitarInformeVidaLaboralGeneralH,10.144927536231885,1.0869565217391304,0.0,14.492753623188406,3.9855072463768115,0.7246376811594203,2.536231884057971,14.492753623188406,15.942028985507246,25.0,17.753623188405797,5.072463768115942,0.0,1.4492753623188406,0.36231884057971014,0.0,0.0,0.0,86.59420289855072,2.898550724637681,1.0869565217391304,0.0,2.1739130434782608,23.0,4.807971014492754,0.5833333333333334,2.536231884057971,4.3478260869565215,0.0,0.0,0.36231884057971014,0.0,3.260869565217391,0.7246376811594203,0.0,7.246376811594203,13.405797101449275,Dificil
InscribirseGarantiaJuvenilH,7.751937984496124,2.842377260981912,0.0,13.695090439276486,5.426356589147287,0.5167958656330749,2.842377260981912,14.470284237726098,17.31266149870801,26.098191214470283,14.728682170542635,5.167958656330749,0.0,1.2919896640826873,0.0,0.0,0.5167958656330749,0.0,97.1576227390181,1.550387596899225,1.2919896640826873,0.0,2.842377260981912,25.8,4.906976744186046,0.8,3.10077519379845,3.10077519379845,0.0,0.0,0.0,0.0,2.0671834625322996,2.0671834625322996,0.0,5.167958656330749,11.886304909560723,Dificil
AyudasDespuesParoH,8.860759493670885,1.4240506329113924,0.0,10.126582278481013,2.2151898734177213,0.31645569620253167,2.3734177215189876,16.455696202531644,17.40506329113924,24.841772151898734,17.246835443037973,6.80379746835443,0.0,1.2658227848101267,0.9493670886075949,0.0,0.15822784810126583,0.0,78.63924050632912,3.0063291139240507,1.5822784810126582,0.0,2.689873417721519,24.307692307692307,4.715189873417722,1.1923076923076923,4.905063291139241,4.113924050632911,0.0,0.0,0.0,0.15822784810126583,2.0569620253164556,1.2658227848101267,0.15822784810126583,3.1645569620253164,14.39873417721519,Dificil
ContratoIndefinidoH,5.217391304347826,1.7391304347826086,0.0,11.304347826086957,3.4782608695652173,0.8695652173913043,0.8695652173913043,14.782608695652174,19.130434782608695,24.347826086956523,12.173913043478262,5.217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,84.34782608695652,2.608695652173913,0.8695652173913043,0.0,1.7391304347826086,38.333333333333336,4.730434782608696,2.3333333333333335,6.086956521739131,2.608695652173913,0.0,0.0,0.0,0.0,2.608695652173913,1.7391304347826086,0.0,3.4782608695652173,11.304347826086957,Dificil
