Title,Por_Sinonimos,Por_Abreviaturas,Por_Siglas,Por_verbs,Infinitive_Verbs_number,Gerund_Verbs_number,Participle_Verbs_number,Determiners_number,Preposition_number,Noun,Por_Desconocidas,Por_Largas,Por_Superlativos,Por_Adverbios,Por_Simbolos,Mayusuculas_NoSiglas,Por_Inderterminados,Por_numeros,Por_complex,Por_muy_frecuentes,Por_frecuentes,Por_poco_frecuentes,Por_comillas,Por_Homo,Ratio_Palabra_Frases,Ratio_Caracteres_Palabra,Comas,puntos,punto_y_coma,N_sentences,Tipo
DemandaEmpleo,13.636363636363637,1.5151515151515151,0.0,16.161616161616163,5.3872053872053876,0.3367003367003367,2.0202020202020203,11.616161616161616,15.151515151515152,26.430976430976433,0.8417508417508418,2.1885521885521886,0.0,0.6734006734006734,1.0101010101010102,0.0,0.16835016835016836,0.0,0.0,86.1952861952862,0.3367003367003367,0.16835016835016836,0.0,2.525252525252525,25.82608695652174,4.752525252525253,1.391304347826087,0.8695652173913043,0.043478260869565216,23,Facil
AdministraciónPúblicaElectrónica,5.470459518599562,0.87527352297593,0.437636761487965,9.62800875273523,2.8446389496717726,0.2188183807439825,0.87527352297593,13.12910284463895,13.347921225382931,23.85120350109409,2.8446389496717726,3.938730853391685,0.0,0.0,0.6564551422319475,0.0,0.0,0.0,0.0,83.58862144420131,0.6564551422319475,0.87527352297593,0.0,2.1881838074398248,45.7,5.107221006564552,4.2,0.8,0.0,10,Facil
ExpedienteInemFacil,7.189542483660131,2.287581699346405,1.1437908496732025,12.254901960784315,4.084967320261438,0.32679738562091504,0.9803921568627451,13.398692810457517,14.215686274509803,24.836601307189543,4.411764705882353,0.8169934640522876,0.0,0.32679738562091504,3.5947712418300655,0.0,0.0,2.6143790849673203,0.0,84.80392156862744,0.32679738562091504,2.1241830065359477,0.0,3.4313725490196076,43.714285714285715,4.393790849673203,2.0714285714285716,0.8571428571428571,0.0,14,Facil
InformeVidaLaboralCertificadoDigital,5.524079320113314,0.56657223796034,0.28328611898017,14.022662889518413,3.2577903682719547,0.7082152974504249,2.1246458923512748,13.456090651558073,12.464589235127479,18.271954674220964,4.1076487252124645,2.9745042492917846,0.0,0.0,0.8498583569405099,0.0,0.0,1.13314447592068,0.0,80.45325779036827,1.841359773371105,1.6997167138810199,0.0,1.9830028328611897,23.533333333333335,4.762039660056657,0.6,1.0666666666666667,0.0,30,Facil
VerDatosEnLaSeguridadSocial,4.603174603174603,0.6349206349206349,0.47619047619047616,14.126984126984127,3.8095238095238093,0.31746031746031744,1.9047619047619047,12.53968253968254,12.380952380952381,19.047619047619047,4.920634920634921,4.603174603174603,0.0,0.31746031746031744,0.47619047619047616,0.0,0.0,0.6349206349206349,0.0,80.15873015873017,2.0634920634920637,3.492063492063492,0.0,2.380952380952381,23.333333333333332,4.955555555555556,0.48148148148148145,0.9629629629629629,0.0,27,Facil
DerechoAbogadoOficio,10.76487252124646,0.9206798866855525,0.0708215297450425,15.793201133144477,4.745042492917847,0.56657223796034,1.9121813031161472,16.359773371104815,14.80169971671388,21.742209631728045,2.3371104815864023,1.7705382436260624,0.0,0.6373937677053825,1.0623229461756374,0.0,0.0,0.21246458923512748,0.0,89.66005665722379,0.7790368271954674,0.28328611898017,0.0,2.691218130311615,28.816326530612244,4.636685552407932,1.2448979591836735,0.7755102040816326,0.0,49,Facil
AyudaLiberadosPrision,13.578274760383387,1.038338658146965,0.23961661341853036,15.095846645367413,4.792332268370607,0.3993610223642173,3.753993610223642,13.338658146964857,16.21405750798722,23.482428115015974,3.194888178913738,1.7571884984025559,0.0,0.1597444089456869,2.635782747603834,0.0,0.0,0.8785942492012779,0.0,89.37699680511182,0.9584664536741214,0.9584664536741214,0.0,3.5143769968051117,30.536585365853657,4.7507987220447285,1.2926829268292683,0.9024390243902439,0.0,41,Facil
PrestaciónCeseActividadAutonomoFacil,7.308248914616498,1.2301013024602026,0.0,11.649782923299567,3.4008683068017365,0.6512301013024602,1.8813314037626627,13.386396526772794,16.063675832127352,23.154848046309695,4.2691751085383505,2.098408104196816,0.0,0.4341534008683068,1.6642547033285093,0.0,0.0,1.9536903039073805,0.0,89.07380607814761,1.3748191027496381,0.361794500723589,0.0,2.460202604920405,24.678571428571427,4.753979739507959,1.0535714285714286,0.7857142857142857,0.0,56,Facil
ParoPrimeraVez,10.822060353798127,0.8324661810613944,1.2486992715920915,14.360041623309053,4.37044745057232,0.1040582726326743,1.352757544224766,14.568158168574401,14.04786680541103,22.684703433922998,1.352757544224766,0.8324661810613944,0.0,0.2081165452653486,3.850156087408949,0.0,0.2081165452653486,0.0,0.0,84.28720083246618,0.9365244536940687,1.5608740894901145,0.0,3.6420395421436003,25.972972972972972,4.253902185223725,0.9459459459459459,0.9459459459459459,0.0,37,Facil
SubsidioPerdidaPensionIncapacidadPermanente,10.169491525423728,1.1864406779661016,0.3389830508474576,12.88135593220339,4.067796610169491,0.1694915254237288,3.389830508474576,11.016949152542374,17.796610169491526,25.593220338983052,2.8813559322033897,0.5084745762711864,0.0,0.3389830508474576,1.8644067796610169,0.0,0.0,1.1864406779661016,0.0,81.69491525423729,1.0169491525423728,1.1864406779661016,0.0,2.711864406779661,28.095238095238095,4.705084745762712,1.4761904761904763,0.8571428571428571,0.0,21,Facil
NuevaAyudaDesempleados,7.718120805369128,0.8389261744966443,0.5033557046979866,11.241610738255034,2.0134228187919465,0.0,2.1812080536912752,14.093959731543624,14.261744966442953,20.302013422818792,5.704697986577181,4.3624161073825505,0.0,0.6711409395973155,4.026845637583893,0.0,0.0,1.342281879194631,0.0,88.59060402684564,0.8389261744966443,2.1812080536912752,0.0,2.1812080536912752,35.05882352941177,5.026845637583893,1.588235294117647,1.0,0.0,17,Facil
AbogadosLaboristasAsesoramiento,10.487804878048781,1.2195121951219512,0.0,15.731707317073171,3.902439024390244,0.4878048780487805,2.1951219512195124,14.75609756097561,14.024390243902438,22.682926829268293,1.7073170731707317,2.1951219512195124,0.0,0.4878048780487805,0.8536585365853658,0.0,0.0,0.0,0.0,88.29268292682927,0.4878048780487805,1.2195121951219512,0.0,2.1951219512195124,35.65217391304348,4.86219512195122,1.434782608695652,0.9565217391304348,0.0,23,Facil
